instagram_handle,caption,shortcode,city,state,likes,display_url
savannahcolleen,"Two days in a row on Gabriela from Denver! Thanks so much for your toughness, lady! I really appreciate your dedication and trust. Have a safe trip home! 🖤 Made with love at @thetattoodojo #thetattoodojo #atlantatattoo #ornamentaltattoo #ornamental #mehndi #mehnditattoo #henna #hennatattoo #paisley #paisleytattoo #blackworkers #blackworkerstattoo #tttism #taot #blackndark #btattooing #blackwork #blackworktattoo #blxckink #tattoodo #floral #floraltattoo #flower #flowertattoo #blacktattooing",Bnpch7fFDBz,Atlanta,Georgia,2208,https://instagram.fphl1-1.fna.fbcdn.net/vp/6461580fdc1e565b39095c5d1476104e/5C22BB2F/t51.2885-15/e35/41027438_462215020957935_1842248248155215912_n.jpg?_nc_eui2=AeGKnqEIiLrti9AzD8B0eLUWMSv0UkBVaACe1yy1t2syjLZTV9Vc5dOuuFMxQEbh7tMHcvb9VHltK-zidiKAc2ly
evantattoo,"S for brother... #evantattoo #evantattooinNYC #tattootrip
.
.
.
.
.
.
.
#finelinetattoo #tattoo #tattooed #inked #blackwork #blackworkers #tattooart #fashiontattoo #문신 #타투 #NYC  #minimaltattoo #blackclawneedle #blacktattoo",BnpPTAen8sb,New York,New York,2200,https://instagram.fphl1-1.fna.fbcdn.net/vp/68a3e8988946b667dd759edcee6dc257/5C307897/t51.2885-15/e35/40665139_230307330970708_6227700843155422553_n.jpg
inkbrambles,"Cute as heck potted bird of paradise, adapted from some images in Jim Harter’s “Plants”. Healed espresso machine from November (I think?) Thanks again, Jamie! @blackoaktattoo #blackworkers #blackworkerssubmission #blackink #btattooing #blackwork #houseplantsofinstagram",BnAKUEOnPk4,Chicago,Illinois,2071,https://instagram.fphl1-1.fna.fbcdn.net/vp/df72d9068ca72c5e83b497688b4f2ae5/5C34977A/t51.2885-15/e35/40187322_309002226317752_1664998098123299989_n.jpg
rachel.welsby,"For Beth 🖤 r.welsby.tattoo@gmail.com Done at @goldendaggers, Los Angeles",Bm_Z7aMH3BP,Los Angeles City Center,California,2004,https://instagram.fphl1-1.fna.fbcdn.net/vp/758132b5cca303d02065084fc1ea493c/5C397D06/t51.2885-15/e35/39044641_546390592456475_5829876736577241088_n.jpg
nothingwildtattoo,Photo by @alefruscella for the beautiful lingerie brand @mmadalynne,BnWV336Adyk,Brooklyn,New York,1883,https://instagram.fphl1-1.fna.fbcdn.net/vp/ed35d01f92dcdb339d6d4efbea357d11/5C31E4F2/t51.2885-15/e35/39881709_2144220695853185_5711870031366535370_n.jpg
inkbrambles,"All done! Arm fresh, chest healed. So pleased with this project. Thank you for the trust, Geoff! (To everyone asking - books opening up again SOON, keep an eye out for a form to be posted 🙏🏻) @blackoaktattoo #blackworkers #blackworkerssubmission #blackink #btattooing #blackwork #birds #botanical",BnZvL_4Hqpf,Chicago,Illinois,1707,https://instagram.fphl1-1.fna.fbcdn.net/vp/bdb4b621eaec4d18404df23107e644a6/5C1D10EF/t51.2885-15/e35/40447649_106308946931199_7218828392158924454_n.jpg
lindseydreadfuls,"True fact: my first dream job was to be a National Geographic photographer in space 😂 it could still happen! But until then more space pieces please 😍👩🏻‍🚀😍
.
.
.
.
.
.
.
.
.
. .
.
.
.
#tattoo#tattoos#tattooartist#blackwork#tattooist#tattooflash#tattooer#blackworkers#flowertattoo#blackworktattoo#darkartists#tattoodo#tattooideas#lineworktattoo#linetattoo#finelinetattoo#botanicalart#queerart#dotworkers#radtattoos#floraltattoo#queerartist#blackbotanists#portlandtattoo#lineworkers#pdxtattoo#portlandtattooartist#illustrativetattoo#qttr#linesanddots",Bno2YNyh_Ly,Gresham,Oregon,1689,https://instagram.fphl1-1.fna.fbcdn.net/vp/d8180a4db7cd0b974f9f33e64b306678/5C207684/t51.2885-15/e35/40412271_2234866236584576_4512347716381568501_n.jpg
kirknilsentattoos,"• Healed sleeve • Thank you for making the trips from Boston, MA • Books are opening on September 15th for 2019 appointments • www.kirknilsen.com • @crownandanchortattoo • Point Pleasant Beach, NJ",BnCh9L3lafr,New York,New York,1609,https://instagram.fphl1-1.fna.fbcdn.net/vp/8e765f9d8aa576ded58528e147774795/5C2C69C9/t51.2885-15/e35/39539731_2155987984689862_5522405220472061952_n.jpg
justin__wild,A favorite from a while ago. Tattooed @allsacredtattoo,BnTx_LvHLeV,Denver,Colorado,1571,https://instagram.fphl1-1.fna.fbcdn.net/vp/124181ce49785bac14786a7d200b4e20/5C24BB6E/t51.2885-15/e35/39913484_243285043002360_3831965316407942396_n.jpg
ellementaltattoos,"Whole leg and foot in one day! This girl was a champ!!👏🏻💪🏻😘❤️loved doing this thank you so much for letting me do this project

#ellementaltattoos #dotworkers #dotwork #linework #lineworktattoo #blckink #onlyblackart #blvckink #blackwork #blackworkers #blackworktattoo #blackworkartists #blackworkerssubmission #berlin #berlintattoo #berlintattooists #berlintattooartist #ornament #ornamenttattoo #ornamentaltattoo #mandala #mandalatattoo #mehinditattoo #hennatattoo #paisleytattoo #tattoosleeve #taot #txttooing #blackworkers_tattoo #tttism",Bnob9iFn8hH,Oakland,California,1536,https://instagram.fphl1-1.fna.fbcdn.net/vp/d937289e4ea8acb5557da98ce2085fb0/5C39788F/t51.2885-15/e35/40363957_222440261964338_1646760343958729059_n.jpg?_nc_eui2=AeFsAv5z6eK7JppALWpgUZropDteXE82xZxvP7SQ-80Lgu8rK6Svigy_rTfEN9zuiHcnpVQoI2zxkgwGsmm7Bw5c
ellementaltattoos,"Whole leg and foot in one day! This girl was a champ!!👏🏻💪🏻😘❤️loved doing this thank you so much for letting me do this project

#ellementaltattoos #dotworkers #dotwork #linework #lineworktattoo #blckink #onlyblackart #blvckink #blackwork #blackworkers #blackworktattoo #blackworkartists #blackworkerssubmission #berlin #berlintattoo #berlintattooists #berlintattooartist #ornament #ornamenttattoo #ornamentaltattoo #mandala #mandalatattoo #mehinditattoo #hennatattoo #paisleytattoo #tattoosleeve #taot #txttooing #blackworkers_tattoo #tttism",Bnob9iFn8hH,Oakland,California,1483,https://instagram.fphl1-1.fna.fbcdn.net/vp/c19968a66a426466f412919718a16112/5C39788F/t51.2885-15/e35/40363957_222440261964338_1646760343958729059_n.jpg
lindseydreadfuls,"True fact: my first dream job was to be a National Geographic photographer in space 😂 it could still happen! But until then more space pieces please 😍👩🏻‍🚀😍
.
.
.
.
.
.
.
.
.
. .
.
.
.
#tattoo#tattoos#tattooartist#blackwork#tattooist#tattooflash#tattooer#blackworkers#flowertattoo#blackworktattoo#darkartists#tattoodo#tattooideas#lineworktattoo#linetattoo#finelinetattoo#botanicalart#queerart#dotworkers#radtattoos#floraltattoo#queerartist#blackbotanists#portlandtattoo#lineworkers#pdxtattoo#portlandtattooartist#illustrativetattoo#qttr#linesanddots",Bno2YNyh_Ly,Gresham,Oregon,1470,https://instagram.fphl1-1.fna.fbcdn.net/vp/d8180a4db7cd0b974f9f33e64b306678/5C207684/t51.2885-15/e35/40412271_2234866236584576_4512347716381568501_n.jpg
danielsilvatattoos,"➕➕➕➕➕➕➕➕➕
Another angle of one of my favorites 😌
_______________________________________________
Books open !!!! Email DanielSilvaTattoos@Gmail.com with all questions and inquiries. Everyone will get a response but please be patient. Thank you.
_______________________________________________
Made with @bishoprotary @tatsoul @saniderm 
_______________________________________________",BnbnkyPlmL2,Los Angeles,California,1460,https://instagram.fphl1-1.fna.fbcdn.net/vp/f043fa3c3878f6b7a82539fe4fa444f4/5C26B173/t51.2885-15/e35/39974261_1855392217884521_4376291530394600166_n.jpg
meganchuntz,"Last one before the storm hits!
.
.
.
.
#nctattooers #eastcoastattooers #durham #bullcity #raleigh #chapelhill #bullcityartist #ncartist #tattooedcarolina #blackclaw #stencilstuff #bishoprotary #libertytattoosupply #eternalink #wolftattoo #wildflowertattoo #blackandgreytattoo #blackwork #blackworkers #finelinetattoo #tattoosnob",BnpWvlvgnp3,Durham,North Carolina,1286,https://instagram.fphl1-1.fna.fbcdn.net/vp/ffd4eaaa54f35f3f2f4be75d60c5071e/5C3985C8/t51.2885-15/e35/40373975_1832225643562017_3423571974510868354_n.jpg
jameznicholson,✎ ✘ ॐ,Bnq84vsHALY,New York,New York,1273,https://instagram.fphl1-1.fna.fbcdn.net/vp/e9a2a97cd842c892edd170a3379acb7c/5C24FCDC/t51.2885-15/e35/41450504_1101405073318058_6552262292876378578_n.jpg
marisalarentattoos,Scales on scales on scales 🌙,BnZ2XDBlF1p,Las Vegas,Nevada,1260,https://instagram.fphl1-1.fna.fbcdn.net/vp/ed4cabc2220c41508a34f9610691c425/5C1A425A/t51.2885-15/e35/40617462_1060254040804057_6733707764704294897_n.jpg
tattoosbylandon,➕pit wasp➕ @trilogytattoogallery ➕ on one of my fav people @ashbeaubash ➕#blackworkerssubmission ➕,Bnw16EdjBaa,Riverview,Florida,1241,https://instagram.fphl1-1.fna.fbcdn.net/vp/da21b84ec3a98817295a25dbc4773b21/5C3C924E/t51.2885-15/e35/41516220_916940288497028_4598941180128560864_n.jpg
nico_bassill,For my new friend Angelo. Thanks again! Done @amongthewillows My books are open. Click the link in my bio to schedule an appointment.,BnoehbVHMTa,Los Angeles City Center,California,1229,https://instagram.fphl1-1.fna.fbcdn.net/vp/b9f02ad43982783acb8774dee1f31adb/5C32C2CA/t51.2885-15/e35/40625397_689916164721306_8325599442014900561_n.jpg
alvin_aldridge,Aliens on vacation. Thanks Justin. #roselandtattoo,BnPAARCgJLl,Fullerton,California,1146,https://instagram.fphl1-1.fna.fbcdn.net/vp/575f6ad5736775f61c3d9688ef7648a9/5C2F5508/t51.2885-15/e35/40019238_681561975540691_2330325009995661312_n.jpg
meia.work,⚡️✍🏻custom pen ⚡️#tattoos #blackwork  #inked #darkartists #blackworktattoo #tattooaddict #flashtattoo  #blxckink #linework #flash #flashaddicted  #handtattoo #artistsofinstagram #tattoo #blackworkers #stickandpoke #inkstinctsubmission,BnZweusBxnN,New York,New York,1128,https://instagram.fphl1-1.fna.fbcdn.net/vp/ee24ced8f7b2e22200f70547395ef834/5C158E00/t51.2885-15/e35/40197947_267434133878116_4722652532612243278_n.jpg
savannahcolleen,One session on Michelle! Girl is tough as NAILS!! Thanks so much for hanging in there are sitting like a dream. Made with love at @thetattoodojo. 🖤#thetattoodojo #atlantatattoo #ornamentaltattoo #ornamental #mehndi #mehnditattoo #henna #hennatattoo #underboob #underboobtattoo #stomachtattoo #paisley #paisleytattoo #blackworkers #blackworkerstattoo #tttism #taot #blackndark #btattooing #blackwork #blackworktattoo #blxckink #tattoodo #floral #floraltattoo #flower #flowertattoo #blacktattooing,BnaAC3ulgTU,Atlanta,Georgia,1117,https://instagram.fphl1-1.fna.fbcdn.net/vp/39fb968ef1a7e7aeda657b6f88692200/5C224840/t51.2885-15/e35/40406002_287242542096116_6895711909076217973_n.jpg
inkbrambles,"Small world! Ran into one of my LA clients yesterday and got to see this piece all healed up - done in January @thistleandsnowstudio. Healed photo opportunities are SO valuable for tattooers - no filters or adjustments needed on these photos. Thank you again, @dariosolari! P.S. Dario’s photography is beautiful and I’m a big fan, I recommend having a peek 👀 
#blackworkers #blackworkerssubmission #blackink #btattooing #blackwork",BnMB12XngXO,Los Angeles City Center,California,1026,https://instagram.fnyc1-1.fna.fbcdn.net/vp/8239292bc0e5ef2e10e3e3c538de9ba0/5C2EA9C0/t51.2885-15/e35/39595521_550517312035731_6163480436116589424_n.jpg
angeloparente,"Making more progress on this sleeve. Shading is fresh. Outline is healed. #blackcaskettattoo .
.
.
.
. 
#blacktattoo #inkedmag #jetblacksupply #radtattoos #workhorseirons #blackclawneedle #blackworkers #blackwork #btattooing #blxckink #thebesttattooartists #eternalink #taot #blackworkerssubmission #darkartists #bishoprotary #darkartist #onlythedarkest #onlyblackart #blacktattooart #blacktattooworld #d_world_of_ink #skinart_mag #theblackmasters #tttism #roses #rosestattoo",BnCwZGUAAgH,Scranton,Pennsylvania,1022,https://instagram.fphl1-1.fna.fbcdn.net/vp/b34ac69c1f011af6f92c5702ac5a81ba/5C2D3DD5/t51.2885-15/e35/39245152_314442482647860_5193771245153288192_n.jpg
lillyanchor,Thanks Hannah ✨ done at @thistleandsnowstudio ✨ to book an appointment in Los Angeles email me at lillyanchor@Gmail.com ✨ #botanical #botanicaltattoo #linework #blacktattoo #nyctattoo #newyorktattoo #losangelestattoo #latattoo #londontattoo #vegantattoo #veganink #btattooing #blacktattooart #darkartists #blackworkerssubmission #tttism #blackworkers #flowertattoo #inkstinctsubmission #tattoodo #bonetattoo #poppytattoo #californiapoppy #lavendertattoo,Bnzdu9Enwdv,Los Angeles City Center,California,1010,https://instagram.fphl1-1.fna.fbcdn.net/vp/4d4c6d3334a5d87d29a1bac9455b9a3e/5C1FE7F0/t51.2885-15/e35/40678523_686899421683080_7609862478509539389_n.jpg
melissascrooge,"Better pic later, Thanks Marcel for your trust! Butterfly not by me 
#inked#tattoo #ink#blackworktattoo#darkwork #blackworker#onlythedarkest #blackworkerssubmission#darkartist #blacktattooart #occultarcana #cheyenne #staycoldapparel  @blackworkers_tattoo @onlythedarkest @darkartists @blackworkers @theartoftattoos  @blackworkershero @blacktattooing @thedarkestwork @darkartistries @onlyblackart @dark_neotrad_tattoos @der_grimm_tattoo @feelfarbig @ink_poisoning_ @artesobscurae @blxckink @cheyenne_tattooequipment @staycoldapparel @skinart_mag",Bnyso2DB0ka,Montebello,California,1006,https://instagram.fphl1-1.fna.fbcdn.net/vp/220c63a36b534d39bd46f236ce676a5c/5C1CC1B9/t51.2885-15/e35/41939918_256072088383665_8601553145120326862_n.jpg
nothingwildtattoo,"For you Arielle, for every time you think of her, remember that she is right here, with you ✨",BnOeOlBgFq8,Brooklyn,New York,1006,https://instagram.fphl1-1.fna.fbcdn.net/vp/d27a6cc3043186ab3d5a2674d61a8a47/5C2B8210/t51.2885-15/e35/39687785_1963721057075580_2380047820611649536_n.jpg
tinapoe,"The restorative properties of nature that heal and renew for Sarah. Thank you for getting this with me at @moontattoostudio .
.
.
.
.
.
.
.
.
.
#austintattoo #austintattooartist #onlythedarkest #tattoos #tattooartist #blackwork #blacktattooart #blacktattoomag #blackworkartists #blackworkerssubmission #btattooing #linework #dotwork #occultarcana #onlyblackart #blacktattooart #texastattooartist #blackworkers #atxtattoo #tattooistartmagazine #darkartists #tattoo #etchingtattoo #botanicaltattoo #floraltattoo #magicaltattoo #delicatetattoo",BnOlX7Dhxcf,Austin,Texas,983,https://instagram.fphl1-1.fna.fbcdn.net/vp/8e32e0d2e374e8afd7141af1ed2926ca/5C2484CB/t51.2885-15/e35/40473985_2163947090528012_6554974800777838592_n.jpg
zachdonn,Adam and I started with a small cover up on his upper arm. It quickly became a full sleeve. One more session and it’s complete. Thanks dude for everything! 🤓 @allsacredtattoo || #tattooartmagazine #darkartist #blacktattoomag #btattooing #blackworkerssubmission #tattooartistmag #equilattera  #tattoodo #onlyblackart #blackinkdaily #skinart_mag #ornamentalika #zachdonn #tttism #geometrip #sutra #sacredgeometrytattoo #d_world_of_ink,Bm_9nSDAI4m,Denver,Colorado,931,https://instagram.fphl1-1.fna.fbcdn.net/vp/c01a17e5ce3f221360e09e16652b4f7d/5C00BBB7/t51.2885-15/e35/39605499_253162702196820_4027668138022666240_n.jpg
meganchuntz,"Last one before the storm hits!
.
.
.
.
#nctattooers #eastcoastattooers #durham #bullcity #raleigh #chapelhill #bullcityartist #ncartist #tattooedcarolina #blackclaw #stencilstuff #bishoprotary #libertytattoosupply #eternalink #wolftattoo #wildflowertattoo #blackandgreytattoo #blackwork #blackworkers #finelinetattoo #tattoosnob",BnpWvlvgnp3,Durham,North Carolina,900,https://instagram.fphl1-1.fna.fbcdn.net/vp/ffd4eaaa54f35f3f2f4be75d60c5071e/5C3985C8/t51.2885-15/e35/40373975_1832225643562017_3423571974510868354_n.jpg
blackveiltattoo,"with a magic like thee 🌑 @ryanmrray 
#blackveiltattoo #blacktattooart #tattooistartmag #darkartists #blackworkerssubmission #inkedmagazine  #blacktattooing #blxckink #tattoodo #tattoosnob #skinartmag #blackwork  #salemma #blackworkers  #darkartistries #salem #btattooing #onlythedarkest #thedarkestwork #inkjunkeyz #inkpoisoning #tttism #iblackwork #skinartmag #btattooing",BnZP-9uHKJ0,New Orleans,Louisiana,860,https://instagram.fphl1-1.fna.fbcdn.net/vp/1471d54186094bdb02ef3f3b227fe264/5C2AE56E/t51.2885-15/e35/40377591_2284111695155337_796313818591963602_n.jpg
anniemesstattoos,"Dear ✨
.
.
.
.
.
#tattoos #tattoo #austin #texas #austintattoo #goldenagetattoo #blxckink #blackworkers #blackwork #blackworkerssubmission #blackworkartists #btattooing #darkartists #blackwork #blacktattoo #blackworkers_tattoo #onlyblackart #512tattoo",Bno5hIkgCVT,Austin,Texas,826,https://instagram.fphl1-1.fna.fbcdn.net/vp/e44791516e52ace04dc93e9b86ff61d8/5C35BAF3/t51.2885-15/e35/40791575_1935214869894310_7497390007447610814_n.jpg
the.best.tattoo.page,"So awesome to see a different 🦇!
TATTOO BY @alexanderyanitskiy!!
#Batman
________________________________________
Follow @the.best.tattoo.page
#tattoolife #tattooaddict #beautifultattoos #art
#tattoooftheday  #inkedlife
#blackwork #australiatattoos  #colortattoos .#batmantattoos  #blackandgrey  #татуировка #татумастер
#tatovering. * #tatuering *
* #タトゥー *#tattooitalia. 
#vero  #tatuering #tatuador #tatuage #tatuaggio  #入れ墨  #وشم #amazingtattoos. * #greecetattoos #realismo. *",BnrasC6HMod,Universal City,California,799,https://instagram.fphl1-1.fna.fbcdn.net/vp/9b13f99349a87305d86e96bc3d402935/5B9D06FF/t51.2885-15/e35/40819694_476556926196979_5665711809805009034_n.jpg?_nc_eui2=AeG8wogxePui4g3gqosGq9BA5DLvCmh_RuZ0O5ClUMng3W_p9rclaxguoZxUMDbshhnXQJsjUYePhIEYs96eIIYz
the.best.tattoo.page,"Awesome TATTOO BY @tibitattooart!
________________________________________
Follow @the.best.tattoo.page
#tattoolife #tattooaddict #beautifultattoos #art
#tattoooftheday  #inkedlife
#blackwork #australiatattoos  #colortattoos .#indiatattoos
 #blackandgrey  #татуировка #татумастер
#tatovering. * #tatuering *
* #タトゥー *#tattooitalia. 
#vero  #tatuering #tatuador #tatuage #tatuaggio  #入れ墨  #وشم #amazingtattoos. * #greecetattoos #realismo. *",BnDHsQSHjdD,Miami,Florida,773,https://instagram.fphl1-1.fna.fbcdn.net/vp/3768ddc0d931c83b4b1449137625c155/5B88B18D/t51.2885-15/e35/39933855_295225644625616_4980334705099407360_n.jpg?_nc_eui2=AeFj1Oxxf6pr1BRzcwhvtsldr2PKhPFByNnRs29je_iL7fMF9LfYONdyz52W2bMpuMhSc3N4omp-GmWLRNR3IupW
nothingwildtattoo,"Work your magic, queen! ✨. Words by @cleowade on the beautiful Anjelin",BnREukhgVBP,Brooklyn,New York,753,https://instagram.fphl1-1.fna.fbcdn.net/vp/87869325e88abe763b4280adedd53c44/5C1811CA/t51.2885-15/e35/39972264_456151418125845_3477374435315417088_n.jpg
mattmatiktattoo,Nice little neck piece for Chris¥¥¥¥¥¥¥,Bm_cDb4B3VU,San Francisco,California,735,https://instagram.fphl1-1.fna.fbcdn.net/vp/7b05a123608c034c4cbf03024cf19912/5C20816F/t51.2885-15/e35/37178234_564645273951444_6201180726650470400_n.jpg
lustandconsume,From my flash books. Thanks Scarlett. 🔪🐍🖤,BnrjajplwBv,Los Angeles City Center,California,727,https://instagram.fphl1-1.fna.fbcdn.net/vp/d135f2132ef935e45f8a287ba82d36ca/5C1DE420/t51.2885-15/e35/40524573_268678970430707_5329665588695242448_n.jpg
meia.work,🌹Minimal rose from my flash book 🌹 #tattoos #blackwork  #inked #darkartists #blackworktattoo #tattooaddict #flashtattoo  #blxckink #linework #flash #flashaddicted  #dotworktattoo #dotwork #artistsofinstagram #tattoo #blackworkers #stickandpoke #inkstinctsubmission #rosetattoo #rose #dotworker #blxckink#minimaltattoo #minimaltattoos,BnCqs7UBXRr,New York,New York,707,https://instagram.fphl1-1.fna.fbcdn.net/vp/3e44eb7d400e917d07f04328f1021584/5C145DFB/t51.2885-15/e35/40023080_455054388338510_7052986407756759040_n.jpg
cole_tattoo,"Knocked out this rose earlier today. Stoked how it came out, sometimes simplicity is just enough 👌🏼😬",Bm__dqpFK9u,Kennesaw,Georgia,700,https://instagram.fphl1-1.fna.fbcdn.net/vp/4515aa01ae51bf947d4d9796b3c209d0/5C328519/t51.2885-15/e35/39946884_464800480705698_3417710514870943744_n.jpg
allsacredtattoo,Sleeve in progress by @justin__wild made @allsacredtattoo,BnY4aKNHkCG,Denver,Colorado,689,https://instagram.fphl1-1.fna.fbcdn.net/vp/325f43dc395f739feb1bd89baf45b9b1/5C161158/t51.2885-15/e35/39986046_2078049932206732_6131172135972167150_n.jpg
victoriado,"barley, fern, lavender, lily, and sage for cayla 🌾🌸🌿 ________________________________________________________  #bangbangtattoo #bangbangnyc #bangbangforever #art #blackwork #bw #tattoo #floral #inked #ink #illustration #iblackwork #sketch #blackworkers #blackworkerssubmission #blackandwhiteonly #blackworktattoo #tattooing #tattoodo #darkartists #inkstinctsubmission #tattrx #equillatera #taot #btattooing #blacktattoonow #tattooideas #linkforink #thinkbeforeuink #theartoftattoos",Bm__TTanKul,New York,New York,689,https://instagram.fphl1-1.fna.fbcdn.net/vp/399cee381beb944538935ed692fe5b4c/5C14866A/t51.2885-15/e35/39312152_2150866898515188_6480298296806749945_n.jpg
